bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
1069,1011,7524,9317,2793,10301,6872,9921
1070,12920,4730,6390,9920,6521,9324,9915
1080,1360,9915,6390,4730,9324,5417,9921
1082,7493,4531,4912,5433,5417,3252,8828
1086,1360,5417,8827,3000,2793,5433,8828
1089,12797,3189,292,6145,3602,6290,13110
1290,2378,7218,5152,9481,5932,9121,12805
1291,5907,5768,5936,10259,5800,6041,1771
1292,6392,7450,7345,7388,5308,7135,4289
1293,3341,8451,4514,9963,9176,1470,7603
1294,7464,8945,8918,4891,10810,5904,7392
1295,2361,6223,7535,3895,2466,5981,4917
1296,156,7718,2907,7802,9176,6192,6325
1297,7506,2712,3719,6402,835,10631,13063
1298,1062,5177,4597,11774,5186,12210,3366
1299,4599,5639,5990,1691,5890,12727,7737
1300,1603,2728,205,3361,4528,10830,4823
1301,7727,12960,5092,3461,5769,5518,7665
1302,5932,2583,6527,5152,9121,2378,8842
1303,8962,2587,7123,7716,5416,11352,5331
1304,3522,1010,7452,2913,7606,4177,9775
1305,2687,6416,3772,5445,4870,7357,5212
1306,10810,8945,7392,8861,9581,1013,7309
1307,1009,2450,7121,1599,10519,7547,11713
1308,1020,12712,6333,13006,10422,2455,7165
1309,7605,10085,4283,7455,8064,12048,10620
1310,164,7547,7121,7039,1009,11680,10522
1311,9976,4161,11648,3330,7773,6038,957
1312,7151,7778,11453,7217,4850,7494,10609
1313,5700,4450,3743,9513,5132,2221,7264
1314,5330,7816,7078,7389,6221,5576,1792
1315,5703,5211,6477,7401,2381,7228,3415
1316,4818,7125,9778,7687,163,6920,6201
1317,10503,3719,13063,2712,6910,956,12614
1318,4891,8924,10810,8861,5904,7392,1013
1319,3746,7456,6848,10426,10254,12209,1069
1320,11651,5297,5300,7552,4809,4887,9740
1321,6220,5990,5890,9595,1792,1691,6909
1322,8906,2587,7716,7123,11352,5416,5331
1323,263,4322,4850,9978,7456,3748,1291
1324,5946,8059,10968,5331,7069,11455,7152
1325,4916,1795,5589,5526,5404,2787,6324
1327,2152,2155,5548,7229,479,3100,3099
